,precision,recall,f1-score,support,Model
eczema,0.9941002949852508,0.9911764705882353,0.9926362297496317,340.0,Model 3 - MobileNetV2 (augmented)
normal,0.9897610921501706,0.9931506849315068,0.9914529914529915,292.0,Model 3 - MobileNetV2 (augmented)
accuracy,0.9920886075949367,0.9920886075949367,0.9920886075949367,0.9920886075949367,Model 3 - MobileNetV2 (augmented)
macro avg,0.9919306935677107,0.9921635777598711,0.9920446106013117,632.0,Model 3 - MobileNetV2 (augmented)
weighted avg,0.9920954734222075,0.9920886075949367,0.992089543701184,632.0,Model 3 - MobileNetV2 (augmented)
